year,cannes,film
1995,0,BETWEEN THE DEVIL AND THE DEEP BLUE SEA 
1995,0,BEYOND RANGOON
1995,0,CARRINGTON 
1995,0,DEAD MAN
1995,0,DON'T FORGET YOU'RE GOING TO DIE
1995,0,ED WOOD 
1995,0,"GOOD MEN, GOOD WOMEN"
1995,0,STORIES FROM THE KRONEN
1995,0,JEFFERSON IN PARIS
1995,0,KIDS 
1995,0,NASTY LOVE
1995,0,THE CITY OF LOST CHILDREN
1995,0,LA HAINE
1995,0,LAND AND FREEDOM
1995,0,THE CONVENT 
1995,0,THE SNAILS' SENATOR
1995,0,SHARAKU 
1995,0,THE MADNESS OF KING GEORGE
1995,0,THE NEON BIBLE 
1995,0,ULYSSES' GAZE
1995,1,UNDERGROUND 
1995,0,WAATI
1995,0,SHANGHAI TRIAD
1996,0,BREAKING THE WAVES
1996,0,MY SEX LIFE... OR HOW I GOT INTO AN ARGUMENT
1996,0,CRASH 
1996,0,FARGO 
1996,0,TEMPTRESS MOON
1996,0,KANSAS CITY 
1996,0,DRIFTING CLOUDS 
1996,0,THE SECOND TIME 
1996,0,LE HUITIÈME JOUR
1996,0,THIEVES 
1996,0,"GOODBYE SOUTH, GOODBYE"
1996,0,TREE OF BLOOD 
1996,0,TOO LATE 
1996,0,RIDICULE
1996,1,SECRETS & LIES 
1996,0,STEALING BEAUTY
1996,0,THE QUIET ROOM 
1996,0,SUNCHASER
1996,0,THE VAN 
1996,0,EARTH 
1996,0,THREE LIVES AND ONLY ONE DEATH
1996,0,A SELF MADE HERO
1997,0,ASSASSIN
1997,0,THE BANNED WOMAN
1997,0,THE BRAVE 
1997,1,THE EEL 
1997,0,THE END OF VIOLENCE
1997,0,FUNNY GAMES 
1997,0,HAPPY TOGETHER 
1997,0,THE ICE STORM 
1997,0,KINI AND ADAMS
1997,0,L.A. CONFIDENTIAL 
1997,0,NIL BY MOUTH 
1997,0,THE PRINCE OF HOMBURG 
1997,0,THE SERPENT'S KISS
1997,0,SHE'S SO LOVELY
1997,0,THE SWEET HEREAFTER 
1997,1,TASTE OF CHERRY
1997,0,THE TRUCE 
1997,0,WELCOME TO SARAJEVO
1997,0,THE WELL 
1997,0,WESTERN 
1998,0,APRIL 
1998,0,THE CELEBRATION
1998,0,CLAIRE DOLAN
1998,0,CLASS TRIP
1998,0,DANCE ME TO MY SONG
1998,0,THE DREAMLIFE OF ANGELS
1998,1,ETERNITY AND A DAY
1998,0,FEAR AND LOATHING IN LAS VEGAS 
1998,0,FLOWERS OF SHANGHAI
1998,0,FOOLISH HEART 
1998,0,THE GENERAL 
1998,0,THE HOLE 
1998,0,HENRY FOOL
1998,0,THE IDIOTS
1998,0,ILLUMINATA 
1998,0,"KHRUSTALYOV, MY CAR!"
1998,0,LIFE IS BEAUTIFUL
1998,0,MY NAME IS JOE
1998,0,THE SCHOOL OF FLESH
1998,0,THOSE WHO LOVE ME CAN TAKE THE TRAIN
1998,0,VELVET GOLDMINE
1998,0,LA VENDEDORA DE ROSAS
1999,0,8½ WOMEN
1999,0,ALL ABOUT MY MOTHER
1999,0,CRADLE WILL ROCK
1999,0,THE EMPEROR AND THE ASSASSIN
1999,0,FELICIA'S JOURNEY
1999,0,GHOST DOG: THE WAY OF THE SAMURAI
1999,0,HUMANITÉ
1999,0,KADOSH
1999,0,KIKUJIRO
1999,0,THE LETTER 
1999,0,LIMBO 
1999,0,LOVE WILL TEAR US APART 
1999,0,MOLOCH 
1999,0,THE NANNY 
1999,0,NO ONE WRITES TO THE COLONEL 
1999,0,OUR HAPPY LIVES
1999,0,POLA X
1999,1,ROSETTA 
1999,0,THE STRAIGHT STORY
1999,0,TALES OF KISH
1999,0,TIME REGAINED 
1999,0,WONDERLAND 
2000,0,BREAD AND ROSES 
2000,0,CHUNHYANG 
2000,0,CODE UNKNOWN
2000,1,DANCER IN THE DARK
2000,0,ESTHER KAHN
2000,0,TURBULENCE 
2000,0,FAST FOOD FAST WOMEN
2000,0,TABOO 
2000,0,DEVILS ON THE DOORSTEP
2000,0,"HARRY, HE'S HERE TO HELP"
2000,0,IN THE MOOD FOR LOVE
2000,0,KIPPUR
2000,0,SENTIMENTAL DESTINIES
2000,0,NURSE BETTY
2000,0,"O BROTHER, WHERE ART THOU?"
2000,0,THE WEDDING 
2000,0,SONGS FROM THE SECOND FLOOR
2000,0,BLACKBOARDS
2000,0,THE GOLDEN BOWL 
2000,0,THE YARDS
2000,0,FAITHLESS 
2000,0,YI YI
2000,0,EUREKA 
2001,0,DESERT MOON 
2001,0,DISTANCE 
2001,0,I'M GOING HOME 
2001,0,IN PRAISE OF LOVE 
2001,0,KANDAHAR 
2001,0,THE MAN WHO WASN'T THERE 
2001,0,MILLENNIUM MAMBO
2001,0,MOULIN ROUGE!
2001,0,MULHOLLAND DRIVE 
2001,0,NO MAN'S LAND 
2001,0,THE OFFICERS' WARD 
2001,0,PAU AND HIS BROTHER
2001,0,THE PIANO TEACHER 
2001,0,THE PLEDGE 
2001,0,THE PROFESSION OF ARMS 
2001,0,REPLAY 
2001,0,ROBERTO SUCCO 
2001,0,SHREK
2001,0,TAURUS 
2001,1,THE SON'S ROOM
2001,0,VA SAVOIR
2001,0,WARM WATER UNDER A RED BRIDGE
2001,0,WHAT TIME IS IT THERE?
2002,0,24 HOUR PARTY PEOPLE
2002,0,ABOUT SCHMIDT
2002,0,THE ADVERSARY 
2002,0,ALL OR NOTHING 
2002,0,BOWLING FOR COLUMBINE
2002,0,CHI-HWA-SEON
2002,0,DEMONLOVER
2002,0,DIVINE INTERVENTION 
2002,0,IRRÉVERSIBLE
2002,0,KEDMA 
2002,0,MARIE-JO AND HER TWO LOVERS
2002,0,THE MAN WITHOUT A PAST
2002,0,MY MOTHER'S SMILE
2002,1,THE PIANIST 
2002,0,PUNCH-DRUNK LOVE
2002,0,RUSSIAN ARK
2002,0,THE SON 
2002,0,SPIDER 
2002,0,SWEET SIXTEEN 
2002,0,TEN 
2002,0,THE UNCERTAINTY PRINCIPLE 
2002,0,UNKNOWN PLEASURES 
2003,0,AT FIVE IN THE AFTERNOON
2003,0,THE BARBARIAN INVASIONS
2003,0,BRIGHT FUTURE 
2003,0,THE BROWN BUNNY
2003,0,CARANDIRU 
2003,0,LES CÔTELETTES
2003,0,DOGVILLE
2003,1,ELEPHANT 
2003,0,FATHER AND SON 
2003,0,INCANTATO
2003,0,LITTLE LILI
2003,0,MYSTIC RIVER 
2003,0,PURPLE BUTTERFLY
2003,0,SHARA 
2003,0,STRAYED 
2003,0,SWIMMING POOL 
2003,0,THAT DAY 
2003,0,THE TULSE LUPER SUITCASES
2003,0,TIRESIA
2003,0,UZAK
2004,0,2046
2004,0,CLEAN 
2004,0,THE CONSEQUENCES OF LOVE
2004,0,THE EDUKATORS
2004,0,EXILS
2004,1,FAHRENHEIT 9/11
2004,0,GHOST IN THE SHELL 2: INNOCENCE
2004,0,THE HOLY GIRL
2004,0,THE LADYKILLERS 
2004,0,THE LIFE AND DEATH OF PETER SELLERS
2004,0,LIFE IS A MIRACLE
2004,0,LOOK AT ME 
2004,0,MONDOVINO
2004,0,THE MOTORCYCLE DIARIES 
2004,0,NOBODY KNOWS 
2004,0,OLDBOY 
2004,0,SHREK 2
2004,0,TROPICAL MALADY
2004,0,WOMAN IS THE FUTURE OF MAN
2005,0,BASHING 
2005,0,BATTLE IN HEAVEN
2005,0,BROKEN FLOWERS
2005,0,DON'T COME KNOCKING
2005,0,CACHÉ 
2005,1,L'ENFANT 
2005,0,ELECTION 
2005,0,FREE ZONE 
2005,0,A HISTORY OF VIOLENCE
2005,0,KILOMÈTRE ZÉRO
2005,0,LAST DAYS 
2005,0,LEMMING 
2005,0,MANDERLAY
2005,0,TO PAINT OR MAKE LOVE
2005,0,ONCE YOU'RE BORN YOU CAN NO LONGER HIDE
2005,0,SHANGHAI DREAMS
2005,0,SIN CITY 
2005,0,TALE OF CINEMA
2005,0,THE THREE BURIALS OF MELQUIADES ESTRADA
2005,0,THREE TIMES
2005,0,WHERE THE TRUTH LIES
2006,0,BABEL 
2006,0,THE CAIMAN
2006,0,CHARLIE SAYS 
2006,0,CHRONICLE OF AN ESCAPE
2006,0,CLIMATES 
2006,0,COLOSSAL YOUTH 
2006,0,DAYS OF GLORY 
2006,0,THE FAMILY FRIEND
2006,0,FAST FOOD NATION 
2006,0,FLANDERS 
2006,0,LIGHTS IN THE DUSK
2006,0,MARIE ANTOINETTE 
2006,0,PAN'S LABYRINTH
2006,0,RED ROAD 
2006,0,THE RIGHT OF THE WEAKEST
2006,0,SOUTHLAND TALES
2006,0,SUMMER PALACE 
2006,0,VOLVER
2006,0,WHEN I WAS A SINGER
2006,1,THE WIND THAT SHAKES THE BARLEY 
2007,1,"4 MONTHS, 3 WEEKS AND 2 DAYS"
2007,0,ALEXANDRA 
2007,0,THE BANISHMENT
2007,0,BREATH 
2007,0,DEATH PROOF
2007,0,THE DIVING BELL AND THE BUTTERFLY 
2007,0,THE EDGE OF HEAVEN 
2007,0,IMPORT EXPORT
2007,0,THE LAST MISTRESS
2007,0,LOVE SONGS 
2007,0,THE MAN FROM LONDON
2007,0,THE MOURNING FOREST
2007,0,MY BLUEBERRY NIGHTS
2007,0,NO COUNTRY FOR OLD MEN 
2007,0,PARANOID PARK 
2007,0,PERSEPOLIS 
2007,0,PROMISE ME THIS
2007,0,SECRET SUNSHINE
2007,0,SILENT LIGHT
2007,0,TEHILIM 
2007,0,WE OWN THE NIGHT 
2007,0,ZODIAC 
2008,0,24 CITY
2008,0,ADORATION 
2008,0,BLINDNESS 
2008,0,CHANGELING 
2008,0,CHE 
2008,0,A CHRISTMAS TALE
2008,1,THE CLASS 
2008,0,DELTA 
2008,0,IL DIVO 
2008,0,LA FRONTIÈRE DE L'AUBE
2008,0,GOMORRA 
2008,0,THE HEADLESS WOMAN 
2008,0,LEONERA
2008,0,LINHA DE PASSE
2008,0,MY MAGIC
2008,0,PALERMO SHOOTING
2008,0,SERVICE 
2008,0,LORNA'S SILENCE
2008,0,"SYNECDOCHE, NEW YORK"
2008,0,THREE MONKEYS
2008,0,TWO LOVERS 
2008,0,WALTZ WITH BASHIR
2009,0,ANTICHRIST 
2009,0,BRIGHT STAR 
2009,0,BROKEN EMBRACES
2009,0,KINATAY
2009,0,ENTER THE VOID
2009,0,FACE 
2009,0,FISH TANK 
2009,0,INGLOURIOUS BASTERDS
2009,0,IN THE BEGINNING 
2009,0,LOOKING FOR ERIC
2009,0,MAP OF THE SOUNDS OF TOKYO
2009,0,A PROPHET
2009,0,SPRING FEVER 
2009,0,TAKING WOODSTOCK
2009,0,THIRST 
2009,0,THE TIME THAT REMAINS
2009,0,WILD GRASS
2009,0,VINCERE
2009,0,VENGEANCE 
2009,1,THE WHITE RIBBON
2010,0,ANOTHER YEAR 
2010,0,BIUTIFUL
2010,0,BURNT BY THE SUN 2
2010,0,CERTIFIED COPY 
2010,0,CHONGQING BLUES
2010,0,FAIR GAME 
2010,0,THE HOUSEMAID 
2010,0,MY JOY
2010,0,OF GODS AND MEN 
2010,0,ON TOUR 
2010,0,LA NOSTRA VITA
2010,0,OUTRAGE 
2010,0,OUTSIDE THE LAW 
2010,0,POETRY 
2010,0,THE PRINCESS OF MONTPENSIER
2010,0,ROUTE IRISH 
2010,0,A SCREAMING MAN
2010,0,TENDER SON – THE FRANKENSTEIN PROJECT
2010,1,UNCLE BOONMEE WHO CAN RECALL HIS PAST LIVES
2011,0,THE ARTIST 
2011,0,DRIVE 
2011,0,FOOTNOTE 
2011,0,HANEZU
2011,0,HARA-KIRI: DEATH OF A SAMURAI
2011,0,LE HAVRE 
2011,0,HOUSE OF TOLERANCE
2011,0,THE KID WITH A BIKE
2011,0,MELANCHOLIA 
2011,0,MICHAEL 
2011,0,ONCE UPON A TIME IN ANATOLIA
2011,0,PATER 
2011,0,POLISSE
2011,0,THE SKIN I LIVE IN
2011,0,SLEEPING BEAUTY 
2011,0,THE SOURCE 
2011,0,THIS MUST BE THE PLACE 
2011,1,THE TREE OF LIFE 
2011,0,WE HAVE A POPE 
2011,0,WE NEED TO TALK ABOUT KEVIN 
2012,0,AFTER THE BATTLE 
2012,0,THE ANGELS' SHARE
2012,0,BEYOND THE HILLS
2012,0,COSMOPOLIS 
2012,0,HOLY MOTORS
2012,0,THE HUNT 
2012,0,IN ANOTHER COUNTRY 
2012,0,IN THE FOG
2012,0,KILLING THEM SOFTLY
2012,0,LAWLESS 
2012,0,LIKE SOMEONE IN LOVE 
2012,1,AMOUR 
2012,0,MOONRISE KINGDOM
2012,0,MUD 
2012,0,ON THE ROAD 
2012,0,THE PAPERBOY 
2012,0,PARADISE: LOVE
2012,0,POST TENEBRAS LUX 
2012,0,REALITY 
2012,0,RUST AND BONE
2012,0,THE TASTE OF MONEY
2012,0,YOU AIN'T SEEN NOTHIN' YET! 
2013,0,BEHIND THE CANDELABRA
2013,1,BLUE IS THE WARMEST COLOUR
2013,0,BORGMAN 
2013,0,A CASTLE IN ITALY
2013,0,THE GREAT BEAUTY
2013,0,GRIGRIS 
2013,0,HELI 
2013,0,THE IMMIGRANT 
2013,0,INSIDE LLEWYN DAVIS
2013,0,JIMMY P: PSYCHOTHERAPY OF A PLAINS INDIAN
2013,0,"LIKE FATHER, LIKE SON "
2013,0,AGE OF UPRISING: THE LEGEND OF MICHAEL KOHLHAAS
2013,0,NEBRASKA 
2013,0,ONLY GOD FORGIVES
2013,0,ONLY LOVERS LEFT ALIVE
2013,0,THE PAST 
2013,0,SHIELD OF STRAW
2013,0,A TOUCH OF SIN
2013,0,VENUS IN FUR 
2013,0,YOUNG & BEAUTIFUL
2014,0,THE CAPTIVE 
2014,0,CLOUDS OF SILS MARIA
2014,0,FOXCATCHER
2014,0,GOODBYE TO LANGUAGE
2014,0,THE HOMESMAN
2014,0,JIMMY'S HALL
2014,0,LEVIATHAN 
2014,0,MAPS TO THE STARS
2014,0,MOMMY 
2014,0,MR. TURNER 
2014,0,SAINT LAURENT 
2014,0,THE SEARCH 
2014,0,STILL THE WATER
2014,0,TIMBUKTU 
2014,0,"TWO DAYS, ONE NIGHT"
2014,0,WILD TALES 
2014,1,WINTER SLEEP 
2014,0,THE WONDERS 
2015,0,THE ASSASSIN 
2015,0,CAROL 
2015,0,CHRONIC 
2015,1,DHEEPAN
2015,0,THE LOBSTER
2015,0,LOUDER THAN BOMBS 
2015,0,MACBETH 
2015,0,MARGUERITE & JULIEN
2015,0,THE MEASURE OF A MAN 
2015,0,MIA MADRE
2015,0,MOUNTAINS MAY DEPART
2015,0,MON ROI
2015,0,OUR LITTLE SISTER
2015,0,THE SEA OF TREES
2015,0,SICARIO 
2015,0,SON OF SAUL
2015,0,TALE OF TALES 
2015,0,VALLEY OF LOVE
2015,0,YOUTH 
2016,0,AMERICAN HONEY 
2016,0,AQUARIUS 
2016,0,ELLE 
2016,0,FROM THE LAND OF THE MOON 
2016,0,GRADUATION 
2016,0,THE HANDMAIDEN
2016,1,"I, DANIEL BLAKE"
2016,0,IT'S ONLY THE END OF THE WORLD
2016,0,JULIETA 
2016,0,THE LAST FACE
2016,0,LOVING 
2016,0,MA' ROSA
2016,0,THE NEON DEMON
2016,0,PATERSON 
2016,0,PERSONAL SHOPPER
2016,0,THE SALESMAN 
2016,0,SIERANEVADA
2016,0,SLACK BAY
2016,0,STAYING VERTICAL
2016,0,TONI ERDMANN
2016,0,THE UNKNOWN GIRL
2017,0,L'AMANT DOUBLE
2017,0,THE BEGUILED 
2017,0,BPM 
2017,0,THE DAY AFTER 
2017,0,A GENTLE CREATURE 
2017,0,GOOD TIME 
2017,0,HAPPY END 
2017,0,IN THE FADE
2017,0,JUPITER'S MOON
2017,0,THE KILLING OF A SACRED DEER
2017,0,LOVELESS 
2017,0,THE MEYEROWITZ STORIES
2017,0,OKJA
2017,0,RADIANCE 
2017,0,REDOUBTABLE 
2017,0,RODIN 
2017,1,THE SQUARE 
2017,0,WONDERSTRUCK 
2017,0,YOU WERE NEVER REALLY HERE
2018,0,3 FACES
2018,0,ASAKO I & II
2018,0,ASH IS PUREST WHITE
2018,0,AT WAR 
2018,0,AYKA
2018,0,BLACKKKLANSMAN
2018,0,BURNING 
2018,0,CAPERNAUM 
2018,0,COLD WAR 
2018,0,DOGMAN 
2018,0,EVERYBODY KNOWS 
2018,0,GIRLS OF THE SUN
2018,0,HAPPY AS LAZZARO
2018,0,THE IMAGE BOOK
2018,0,KNIFE+HEART
2018,0,LETO 
2018,1,SHOPLIFTERS 
2018,0,SORRY ANGEL
2018,0,UNDER THE SILVER LAKE
2018,0,THE WILD PEAR TREE
2018,0,YOMEDDINE
2019,0,ATLANTICS
2019,0,BACURAU
2019,0,THE DEAD DON'T DIE 
2019,0,FRANKIE 
2019,0,A HIDDEN LIFE 
2019,0,IT MUST BE HEAVEN
2019,0,LITTLE JOE 
2019,0,MATTHIAS & MAXIME
2019,0,LES MISÉRABLES 
2019,0,"MEKTOUB, MY LOVE: INTERMEZZO"
2019,0,OH MERCY!
2019,0,ONCE UPON A TIME IN HOLLYWOOD
2019,0,PAIN AND GLORY
2019,1,PARASITE 
2019,0,PORTRAIT OF A LADY ON FIRE
2019,0,SIBYL 
2019,0,SORRY WE MISSED YOU
2019,0,THE TRAITOR 
2019,0,THE WHISTLERS 
2019,0,THE WILD GOOSE LAKE
2019,0,YOUNG AHMED
